timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626730501940,0,roboto-v20-latin-500.woff2,200,OK,Csae 1 1-9,text,true,,16223,1157,15,15,https://192.168.78.176/app/assets/fonts/roboto-v20-latin-500.woff2,0,0,0
1626730501939,3,common-en-US.json,200,OK,Csae 1 1-11,text,true,,52409,1155,15,15,https://192.168.78.176/app/scripts/static/i18n/common-en-US.json,1,0,0
1626730501940,4,phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=2103,200,,Csae 1 1-12,text,true,,347,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=2103,4,0,0
1626730501942,3,assets-en-US.json,200,OK,Csae 1 1-11,text,true,,36346,1155,15,15,https://192.168.78.176/app/scripts/static/i18n/assets-en-US.json,1,0,0
1626730501941,4,fontawesome-webfont.woff2,200,OK,Csae 1 1-9,text,true,,77512,1156,15,15,https://192.168.78.176/app/assets/fonts/fontawesome-webfont.woff2,1,0,0
1626730501946,1,ui-grid.woff ,200,OK,Csae 1 1-9,text,true,,6078,1143,15,15,https://192.168.78.176/app/assets/fonts/ui-grid.woff,1,0,0
1626730501945,2,model_library-en-US.json,200,OK,Csae 1 1-11,text,true,,25037,1162,15,15,https://192.168.78.176/app/scripts/static/i18n/model_library-en-US.json,2,0,0
1626730501947,1,permission-en-US.json,200,OK,Csae 1 1-11,text,true,,1382,1159,15,15,https://192.168.78.176/app/scripts/static/i18n/permission-en-US.json,1,0,0
1626730501944,4,phaseDDL?portType=20003&inletPhaseCode=-1&modelSubClassCode=2103,200,,Csae 1 1-12,text,true,,398,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20003&inletPhaseCode=-1&modelSubClassCode=2103,4,0,0
1626730501947,1,vsizegrip.png,200,OK,Csae 1 1-9,bin,true,,508,1145,15,15,https://192.168.78.176/app/assets/images/vsizegrip.png,1,0,0
1626730501939,6,get woff2,200,"Number of samples in transaction : 4, number of failing samples : 0",Csae 1 1-9,,true,,100321,4601,15,15,null,3,3,0
1626730501422,527,app,200,OK,Csae 1 1-15,text,true,,12369901,8502,15,15,https://192.168.78.176/app/,1,0,0
